82,131,190
84,133,194
85,134,197
86,135,199
85,134,198
86,134,198
86,135,198
85,134,196
85,134,196
85,134,196
85,134,195
85,134,195
85,134,194
85,136,197
85,136,196
85,137,196
86,138,197
86,139,196
86,139,196
116,86,77
117,88,83
120,96,89
122,96,90
112,94,87
116,102,91
120,96,86
133,102,95
135,105,99
134,105,99
136,110,102
134,109,100
130,103,94
124,99,91
121,105,93
119,103,92
118,104,93
115,102,92
122,95,86
128,95,90
128,97,92
125,93,88
129,97,91
128,99,92
122,94,82
122,93,87
119,94,87
116,92,85
109,95,85
110,97,86
118,91,81
47,147,90
47,147,90
47,147,90
47,147,90
47,147,90
47,147,90
47,147,90
47,147,90
47,146,90
47,147,90
47,147,90
47,147,90
47,147,90
47,147,90
46,147,90
46,147,90
46,147,90
46,147,90
46,147,90
46,147,90
46,147,90
46,147,90
46,147,89
46,147,89
46,147,89
46,147,89
46,147,89
46,147,89
46,147,89
46,147,89
46,147,89
46,147,89
46,147,90
46,146,89
47,146,90
47,145,90
47,146,90
48,146,90
49,148,92
49,148,92
48,146,90
49,147,91
49,148,92
50,148,92
51,149,93
55,152,96
52,150,94
51,148,91
50,146,90
53,149,94
52,151,94
53,150,94
56,151,95
54,150,93
63,152,96
62,152,98
73,149,96
72,147,94
104,141,96
106,142,98
157,140,110
158,140,111
193,158,135
193,157,134
197,165,145
200,173,154
200,175,159
91,112,128
91,112,128
91,112,128
91,112,128
91,112,128
91,112,128
91,112,128
91,112,128
91,112,128
91,112,128
91,112,128
91,112,127
91,112,128
91,112,128
91,112,128
91,112,128
91,113,128
91,113,128
91,113,128
91,112,128
91,112,128
91,112,128
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,127
91,112,126
91,112,126
91,112,126
110,97,97
110,97,96
110,97,96
110,97,96
110,97,96
110,97,96
110,97,96
110,97,96
110,97,96
110,97,96
110,97,96
110,97,96
110,96,96
110,96,96
110,96,96
110,96,96
110,96,96
109,96,96
109,96,96
109,96,96
109,96,96
110,97,96
110,97,96
110,97,96
109,96,96
109,96,96
109,96,96
109,96,96
109,96,96
109,95,96
